Category: All categories

Country,diet: (1/1/04 - 12/15/17),gym: (1/1/04 - 12/15/17),finance: (1/1/04 - 12/15/17)
Slovenia,<1,<1,100
Singapore,30,34,70
South Africa,63,35,57
United Kingdom,46,59,60
Hong Kong,13,14,60
Ireland,48,55,35
Australia,54,49,40
United States,53,28,37
India,27,23,52
Sri Lanka,<1,18,48
New Zealand,48,43,43
Kenya,23,<1,44
Ghana,<1,<1,43
Canada,42,30,39
Vietnam,40,14,2
Lebanon,38,28,<1
Indonesia,36,11,17
United Arab Emirates,35,24,33
Philippines,32,23,16
Nigeria,17,<1,31
Sweden,13,30,8
Malaysia,29,18,25
Pakistan,23,13,29
Switzerland,5,14,26
Bangladesh,<1,<1,23
Tunisia,<1,<1,23
Israel,6,5,22
Mexico,3,20,2
Peru,<1,19,4
Guatemala,<1,19,<1
Belgium,4,11,18
Greece,9,17,8
Morocco,<1,<1,16
Lithuania,<1,16,<1
Dominican Republic,<1,16,<1
France,3,16,13
Costa Rica,<1,15,<1
Finland,6,15,8
Denmark,7,15,8
Bolivia,<1,14,<1
Norway,10,13,7
Czechia,<1,11,13
Austria,<1,13,6
Spain,3,12,6
Slovakia,<1,12,<1
Ecuador,<1,12,<1
Netherlands,5,12,11
Argentina,<1,11,4
Chile,<1,11,<1
Portugal,<1,7,10
Romania,5,10,6
Colombia,<1,10,2
Croatia,<1,10,<1
Venezuela,<1,9,<1
Hungary,<1,9,<1
Serbia,<1,9,<1
Egypt,7,8,<1
Saudi Arabia,8,4,5
Germany,3,7,6
South Korea,5,<1,7
Taiwan,<1,7,7
Italy,3,4,6
Poland,3,6,5
China,<1,<1,5
Ukraine,<1,<1,5
Thailand,3,3,4
Brazil,4,2,1
Turkey,2,2,1
Russia,1,2,2
Japan,1,1,2
